feature,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency
delivery service,0.39670008394961637,0.5702281205188852,0.0,9
whole day,0.0,0.36713732768583707,0.0,2
poor service,0.41785701212406534,0.0,0.0,3
be prepared,1.0,0.0,0.0,2
low pay,0.042805312904701014,0.0,0.0,1
first time,0.0076581486985611595,0.4652547327899864,0.0,16
last time,0.2489496392392155,0.01171339288153748,0.705635972916358,6
first order,0.17236614645875975,0.4879818664107825,0.0,5
store close,0.09124184403943918,0.0,1.0,2
same price,0.06989898407939088,0.10900138534632703,0.0,3
poor service,0.27558540704591145,0.0,0.0,3
be nice,0.0,0.9433446552228103,0.0,6
star review,0.0,0.03877280830774248,0.7785813666353667,2
re order,0.09109176176709328,0.07375656370121145,0.6911689252240286,9
have drive,0.0,0.48727533056049777,0.0,2
uber eats,0.1598707661854705,0.2388122364281413,0.3366780719565866,109
extra money,0.1623328568589249,0.2911680835956732,0.0,2
say sorry,0.20712178619425115,0.10174134870908978,0.0,2
grub hub,0.09236464972378285,0.09230949819317207,0.6028066264639881,17
ur food,0.1103698309018293,0.08627409478578613,0.4093800769267076,31
delivery fee,0.02498377177879704,0.06757417667658953,0.4509963837698576,23
few time,0.10640916098465451,0.1286002685061271,0.0,3
pizza place,0.0,0.6914341290607064,0.0,2
be careful,0.12936037897325323,0.0,0.0,3
pizza place,0.0,0.6338208154184445,0.0,2
uber eats,0.10837893816928702,0.16189461790586537,0.22823942622008822,109
have multiple,0.08654134949365584,0.0,0.4742415632034379,2
second time,0.05727608686753321,0.0,0.6277392513327075,6
be good,0.0,0.689529942422652,0.0,4
re order,0.054462034649876104,0.04409764889850091,0.4132367760183877,9
confirm order,0.36477715381915565,0.0,0.46129790599502507,2
delivery fee,0.0193480501849958,0.052331112096453004,0.34926274317940414,23
hour late,0.11039230147675216,0.0009819090928155304,0.33272986921322345,8
ur food,0.074707400899852,0.058397420144336985,0.2771021870512705,31
delivery driver,0.04249759841308021,0.19736800461553608,0.3048668095592888,11
lose customer,0.4013728840079085,0.0,0.0,1
have drive,0.0,0.25727552995459546,0.0,2
be honest,0.0,0.41398178093366533,0.0,1
be deliver,0.0179502346139774,0.08100337194004208,0.31147593425100517,10
need help,0.0,0.2577764822239255,0.3882230380826264,2
arrival time,0.007839602259737646,0.10269149333561507,0.25776338725735265,3
be good,0.0,0.5612396563201721,0.0,4
quality food,0.0,1.0,0.0,1
be good,0.0,0.5499492097480829,0.0,4
say help,0.0,0.24584858277184415,0.3702590821651563,2
first time,0.002646928474222127,0.16080857769447676,0.0,16
contact uber,0.0,0.09553559579888282,0.0,1
bottom line,0.32112741485972657,0.10126687686875391,0.0,2
uber eats,0.07566115435640233,0.1130213478906152,0.15933777124187165,109
original order,0.0,0.17198903057477796,0.0,2
delivery fee,0.014596209143201196,0.039478699380699325,0.2634845370273082,23
grub hub,0.04841456472271045,0.048385656072525575,0.3159717545564922,17
do anything,0.07453569009996992,0.05936300009036426,0.21745714313048375,18
next time,0.0,0.08338502002547317,0.0,1
first place,0.02390587575787448,0.1391754326850211,0.0,4
do anything,0.0717709344483156,0.05716104570074416,0.20939099569619773,18
food quality,0.0,0.4576667118128159,0.0,1
many time,0.0,0.31325668496785547,0.0,7
hour wait,0.013998348663075309,0.07130874306656654,0.1534202734550669,4
group order,0.0,0.16267523713485463,0.0,1
missing item,0.10406112371073695,0.009511850719820346,0.03061891319639946,20
get money,0.2259225791136978,0.0,0.0,1
deliver food,0.0,0.08661751812491623,0.2019869406055539,3
someone cancel,0.28521993749430896,0.0,0.0,1
delivery person,0.1437200003562825,0.041399729977047585,0.09844715565355057,6
new place,0.0,0.10678751390886092,0.0,1
delivery apps,0.032466999228840845,0.1060533787447066,0.09704578251939784,6
year old,0.21319698642433962,0.0,0.0,1
delivery fee,0.0123543296024062,0.033415036715245525,0.22301508450836435,23
reach customer,0.22971380244714945,0.0,0.0,1
something wrong,0.049133551089322575,0.0,0.0,1
good company,0.0,0.05606564592720826,0.0,1
order something,0.0,0.17415939507626815,0.0,3
uber eats,0.061171920191651734,0.0913775758766571,0.12882432879638794,109
food sit,0.0,0.05403703340995816,0.2775827514055728,2
late night,0.1005942472702041,0.110722647941675,0.0,2
first time,0.00197961874249651,0.12026757710245549,0.0,16
use app,0.12581005085301605,0.0,0.0,1
last time,0.06263199212495121,0.0029469138133916464,0.1775274181309912,6
new customer,0.0,0.0433868511901295,0.0,1
first time,0.0018867100389386982,0.11462310403864895,0.0,16
thing happen,0.0,0.0945952534859928,0.0,1
credit card,0.02672897777634259,0.041743360310514684,0.16076331670195051,16
many other,0.0,0.1714636284391007,0.0,4
hour late,0.06253052098628825,0.0005561917480981097,0.18847122300447713,8
be great,0.0,0.49508392048620975,0.0,3
full refund,0.01722139778952112,0.09634328761647976,0.0,7
home page,0.10626788960480368,0.0,0.0,2
uber eats,0.05266030162315051,0.07866306455937908,0.11089937980634974,109
be closed,0.04400737483252675,0.00960759421546547,0.0,4
delivery fee,0.010295604939255212,0.027846757219741926,0.18585186566056475,23
be separate,0.2855281294633118,0.0,0.0,1
be aware,0.0,0.11587507772499234,0.0,2
correct address,0.007896831087476996,0.008466164545249372,0.23182593852473546,4
original order,0.0,0.11421737960373729,0.0,2
wrong address,0.1610453021012341,0.010260555558815975,0.0,10
rate driver,0.0,0.29944427623428027,0.0,1
last few,0.13026497082280097,0.0,0.0,1
many people,0.0,0.18323859281750882,0.0,2
same thing,0.008402498921926814,0.058701288387212294,0.2210169865035577,4
many issue,0.0,0.10982770799800975,0.0,3
different driver,0.0,0.07155723954591033,0.21553687670535798,2
delivery person,0.10446401902941471,0.03009172118990936,0.07155709376627975,6
tip more,0.0,0.16259005085849396,0.0,1
last time,0.04951408142254177,0.0023296996558945285,0.1403453209429328,6
order status,0.022400508552147563,0.0,0.21043454463219127,2
get food,0.07890596636171163,0.051146006714534446,0.06984924811955776,6
find option,0.0,0.11031706803583222,0.0,1
uber eats,0.045184509154794904,0.06749585268544918,0.09515581733618826,109
uber cash,0.012937444417361709,0.02095577989985553,0.1646627062418978,5
do anything,0.046745488274681654,0.03722984815666406,0.13637950250165995,18
whole point,0.0,0.09065395857366092,0.0,2
ur food,0.034868624858231244,0.027256171559643126,0.12933353444645554,31
customer experience,0.11415147224274885,0.053221760924714964,0.0,3
something go,0.1216376118589723,0.006638914616735594,0.0,3
delivery fee,0.008553129835678647,0.023133845112388658,0.15439744887034357,23
ur food,0.03411629057162796,0.02666808549461378,0.12654300133058805,31
great service,0.0,0.1917418741060229,0.0,1
live person,0.04962617455714473,0.0,0.0,2
be good,0.0,0.2853187649520827,0.0,4
uber eats,0.042062969652103654,0.06283294997019188,0.08858204574318054,109
ad be,0.018736077213104992,0.0,0.3080178411070865,5
last time,0.04519687520490778,0.0021265696865870537,0.12810840419555217,6
say sorry,0.05719449724150975,0.028094800624363415,0.0,2
be closed,0.03421362649971608,0.007469444412435421,0.0,4
uber cash,0.011709161000235344,0.0189662341971972,0.14902959780321284,5
look good,0.0,0.1976148527055313,0.0,1
ur food,0.03224626487359884,0.025206320327399553,0.11960676469908499,31
subscription service,0.0,0.20209447518054732,0.0,1
hour late,0.044853896295339216,0.0003989630439027768,0.13519267963803297,8
delivery time,0.05348261987057179,0.014243242087220342,0.11989703750344839,6
credit card,0.01859414417169385,0.029038972845106696,0.11183578785872947,16
ur food,0.03112109572316735,0.024326796012274787,0.11543332500460078,31
take money,0.0,0.02365838466536072,0.0,1
uber eats,0.03868803677822266,0.05779153253886904,0.08147464318252141,109
be able,0.008966491620024632,0.1259620228779187,0.0,8
full amount,0.0,0.1068907960760965,0.0,7
wrong address,0.12563458209183556,0.008004459570336185,0.0,10
provide refund,0.050782065483913855,0.0,0.0,1
delivery time,0.051294760674302324,0.013660581621808757,0.1149923070182516,6
delivery time,0.051181188457066124,0.013630335598177319,0.11473770145812252,6
available item,0.0,0.06543070974947078,0.0,1
want full,0.0,0.07810930568853479,0.0,1
much money,0.0,0.18285348300626703,0.0,1
first thing,0.009350714731338439,0.06604618934237373,0.0,5
lunch hour,0.0924116347349879,0.0,0.16277476648866143,2
re order,0.018914891564631473,0.015315297207175348,0.143518854173464,9
phone call,0.10971833967063467,0.0,0.0,2
anyone use,0.2329118720503499,0.0,0.0,1
customer service,0.06392880789203413,0.025096698497318364,0.09697407294707217,115
local restaurant,0.0,0.0789320038386283,0.0,2
same price,0.011226470822025667,0.017506704686309122,0.0,3
phone call,0.10741168611640593,0.0,0.0,2
credit card,0.01628387545507689,0.02543096432870136,0.09794051417995717,16
customer service,0.06276621992892198,0.02464029831485113,0.0952105348230291,115
timely manner,0.004493695033525321,0.07416245844311398,0.051712894047520504,6
be ready,0.0,0.1583620347885749,0.0,2
ur food,0.02672149102265887,0.020887704823585047,0.09911445873449388,31
ur food,0.0265711661356564,0.020770198586201636,0.09855687870286527,31
exact same,0.0,0.02209245468038068,0.0,3
uber eats,0.032929051996983004,0.049188858841991055,0.06934657287399677,109
other apps,0.026382348018679676,0.003334835197992378,0.0,5
many time,0.0,0.15144674688705995,0.0,7
suspicious activity,0.11944180676069201,0.0,0.0,2
missing item,0.05092101431314721,0.004654505634542892,0.014982983668914528,20
delivery person,0.07229196093300647,0.020824294842182067,0.04951946780426638,6
do anything,0.03379740586274355,0.026917513000727318,0.09860359935322635,18
be convenient,0.03575425863094001,0.0,0.14694844375138866,2
free grubhub,0.026620363286596713,0.07748932970112418,0.0,2
first time,0.0010516051225042296,0.06388805957283292,0.0,16
be convenient,0.035356083308707494,0.0,0.14531196054120005,2
delivery person,0.0703736640953505,0.020271713636379772,0.04820544841310114,6
wrong address,0.10293245858093318,0.006558056623168611,0.0,10
go get,0.0,0.007647373643839067,0.1903965379973234,3
full amount,0.0,0.08659738949531479,0.0,7
different place,0.012039524945056565,0.0,0.2131528973074181,4
dash pas,0.031899167243416494,0.03787609910213276,0.049937498740697,17
pick food,0.10305906654300422,0.0,0.0,1
delivery fee,0.0061034997516276335,0.016508274819898496,0.11017777222334313,23
uber eats,0.03052989037773755,0.045605031945334606,0.06429408499548928,109
contact support,0.009155994904369564,0.039218748794145684,0.12385889181488248,9
extra money,0.030912992116420752,0.055447041633528225,0.0,2
delivery service,0.04311658549257799,0.06197702118900285,0.0,9
whole thing,0.0,0.06748403654547945,0.0,1
customer service,0.05527740567635938,0.021700395013097236,0.08385069809900397,115
same message,0.03351616643932263,0.0,0.0,1
be nice,0.0,0.16077445941796278,0.0,6
be able,0.006868474060114541,0.09648889703575741,0.0,8
same thing,0.005135102552795941,0.03587470092533637,0.13507230434079368,4
contact support,0.008860946796131761,0.037954941009188926,0.11986759080389423,9
big deal,0.028695042108799345,0.0,0.08957116848825908,3
multiple time,0.026347197795303878,0.007292977691153223,0.07322369445812729,11
ad be,0.013022386831867527,0.0,0.21408576792198497,5
great app,0.021689413607344762,0.0,0.0,1
be deliver,0.006133380418393573,0.027677883100984176,0.10642760036397429,10
dash pas,0.02982299868028334,0.03541091981861421,0.04668729900301161,17
most restaurant,0.0,0.1253190652644245,0.0,1
get further,0.036108859914100705,0.0,0.0,1
more dollar,0.0,0.06772122904559864,0.0,1
be super,0.0,0.0855781089781958,0.0,1
full amount,0.0,0.07806867957739955,0.0,7
wrong order,0.09233328633695705,0.0,0.0,2
say help,0.0,0.08419442947570455,0.12680061780150126,2
customer service,0.05075187105062967,0.01992379410677456,0.0769858817604735,115
hour wait,0.0057639772709690736,0.02936217579301002,0.06317252058690993,4
order something,0.0,0.07824328763569878,0.0,3
customer service,0.05041710190386373,0.019792372911547892,0.07647806801062634,115
delivery guy,0.04580783380235077,0.0,0.1255121328503357,2
long time,0.03098216094203377,0.024949025006834737,0.0,3
same thing,0.004732617015034918,0.03306286841654082,0.12448543708930565,4
be available,0.0,0.04941723356300133,0.0,1
credit towards,0.01564806680918154,0.021710759390073556,0.0,2
pay more,0.0,0.032146017064835206,0.0,1
missing item,0.041005283252379926,0.0037481445434395157,0.012065381995955205,20
only thing,0.012214482040372858,0.019162500453519835,0.04016079081575728,6
store close,0.010977943213591693,0.0,0.12031698097691346,2
do anything,0.02743978592403468,0.021854067656760096,0.08005530568174146,18
company do,0.029032085792051805,0.023391056345526757,0.07954707102232259,3
second time,0.014512865138088893,0.0,0.15905931418720295,6
wrong address,0.08440688311976056,0.0053777508719402055,0.0,10
take advantage,0.011151439149832866,0.07825364671789727,0.11785353034446414,4
real person,0.0,0.03902072814953276,0.0,4
uber eats,0.02560553051273364,0.03824910677903959,0.053923683798771965,109
service fee,0.010060233928549931,0.04993757087294305,0.0,3
customer service,0.04714107042173898,0.01850629270630674,0.0715086320646128,115
someone el,0.008701896218414296,0.03510540157340931,0.023434796913865987,10
old order,0.06855359865990324,0.0,0.0,1
first time,0.0008378721381995962,0.050903161209638406,0.0,16
first thing,0.006539372379383416,0.04618904958158487,0.0,5
treat customer,0.022389662545690667,0.05100586814660191,0.07681714375601703,3
total waste,0.0,0.015002463664433445,0.0,1
delivery apps,0.012690065757835456,0.04145207078193547,0.037931357715306924,6
many other,0.0,0.07639329535103567,0.0,4
correct address,0.00385552760095449,0.0041334974392697,0.1131860735905485,4
house number,0.0,0.01877784264862049,0.0,2
specialized team,0.00457923668549474,0.0,0.15056370463694402,3
save money,0.0,0.030582974502666994,0.056399194905199436,4
customer service,0.04523717127556638,0.01775887406334547,0.06862059362352965,115
menu item,0.003046090277076386,0.024938092532660824,0.07511578995484215,3
support person,0.01796903430495333,0.036777754112455444,0.0,2
uber member,0.0,0.14648293759161626,0.0,1
take day,0.022573345381531645,0.0,0.0,1
uber eats,0.023955940808147544,0.03578497768314211,0.05044974860404618,109
grub hub,0.01581536170631814,0.015805918251404677,0.10321703016255361,17
uber eats,0.02380433125043572,0.035558505899682756,0.050130468132709806,109
waste time,0.0,0.04342114394448703,0.0,1
uber cash,0.0068388828607364414,0.011077467803313918,0.08704261237319699,5
same restaurant,0.022030972402505886,0.0,0.0,1
be perfect,0.0,0.28839882225139046,0.0,1
pay extra,0.059105821956485484,0.0,0.0,2
customer service,0.043293680102883224,0.016995912675493496,0.06567249774991256,115
driver pick,0.02168658300871465,0.056814810656788596,0.0,2
be fan,0.0,0.11339133938909064,0.0,1
multiple time,0.020825347933646265,0.00576451427854149,0.05787746104632454,11
several time,0.0,0.12636815066236837,0.0,1
debit card,0.038179107770516196,0.009760934058856828,0.0,8
few minute,0.02881559530537694,0.0019971295538346217,0.0,4
customer service,0.04212396500145422,0.01653671457378792,0.06389814841799893,115
same thing,0.003990847475289124,0.02788074009090204,0.10497413814383111,4
be careful,0.025048952510735106,0.0,0.0,3
bad experience,0.06356333975360753,0.018502679839654285,0.0,3
hour late,0.0256784236963963,0.00022840250071215585,0.07739650721842212,8
deliver wrong,0.12514841629952808,0.0,0.0,1
multiple time,0.020018642171339893,0.005541215877947509,0.055635477791951236,11
customer service,0.04087396586546457,0.016045999159685048,0.06200201565103171,115
full price,0.0,0.07498526022191757,0.0,1
uber eats,0.022060175213900902,0.032953115222557325,0.04645738201707354,109
delivery time,0.030113933211594026,0.008019802357646377,0.06750924671200531,6
uber eats,0.021872124556451152,0.03267220834296398,0.04606135881476462,109
door dash,0.005788570666297191,0.044309190484947004,0.03571166779435439,28
whole process,0.0,0.07960487113169028,0.0,1
customer service,0.04007304196684471,0.015731578380293893,0.06078708837284771,115
be closed,0.018192762992708143,0.0039718043886336875,0.0,4
many people,0.0,0.0822880668794095,0.0,2
ur food,0.017290548852959744,0.013515708400109452,0.06413352418584103,31
only problem,0.0,0.026936157210073267,0.09894407494608477,2
customer service,0.03959139337610899,0.015542496339474889,0.060056472127793664,115
other person,0.010473595896268749,0.0,0.09839090831183817,2
min try,0.0,0.15655962759747447,0.0,1
first place,0.007419243852217482,0.043193417542460345,0.0,4
next order,0.011862176156144568,0.009495656335770548,0.07800484271898639,5
driver drop,0.0,0.06462311745870825,0.0973253369498483,2
do anything,0.0222076825574487,0.017687025636932238,0.06479069554483695,18
uber eats,0.021119495352855528,0.03154794361589509,0.04447636766715966,109
uber eats,0.021112833724906317,0.0315379925891579,0.04446233868545427,109
correct order,0.0,0.032113002140845545,0.0967272665490338,2
burger king,0.07841550993589237,0.0,0.0,1
free grubhub,0.017642488893058042,0.05135559661091979,0.0,2
contact support,0.00634530331502701,0.0271794446517157,0.08583690194644761,9
follow simple,0.0,0.013105141758654537,0.0,3
many other,0.0,0.06474604235469482,0.0,4
ice cold,0.11600638601883173,0.0,0.0,3
customer experience,0.05426681860500943,0.025301256209808973,0.0,3
uber eats,0.020737994719700767,0.03097806444676203,0.04367295062797589,109
new driver,0.01695175786943439,0.014675867203054976,0.0,3
most people,0.0,0.023033522087166875,0.09460779772038516,2
have deal,0.0,0.12553782578042721,0.0,1
many thing,0.0,0.12515215269640212,0.0,1
do anything,0.02148886235567521,0.017114530451798806,0.06269354467265097,18
delivery fee,0.0040695553886618985,0.011007019166817178,0.07346187677695899,23
food delivery,0.09224606679320428,0.011678520832879275,0.0,3
credit card,0.009743733807038375,0.015217049992721457,0.05860437226547597,16
do anything,0.02142248378166407,0.017061664082818527,0.06249988583551965,18
ur food,0.016185248963453767,0.012651715525835895,0.060033782887917754,31
credit card,0.009599412701293527,0.014991659857418503,0.05773634282477767,16
whole order,0.0,0.04898766492768943,0.0,1
good experience,0.0,0.07755925893748039,0.0,2
have multiple,0.01679012040484881,0.0,0.09200888354246396,2
deliver food,0.0,0.026241039839816672,0.06119255631302063,3
uber eats,0.019780635712917306,0.029547977815355352,0.04165681101555803,109
be closed,0.016537748144898286,0.0036104851520548154,0.0,4
awful experience,0.0428079317440047,0.0,0.0,1
deliver food,0.0,0.02585911723438686,0.06030193533600749,3
order status,0.009625058727965872,0.0,0.0904195922946317,2
customer service,0.036250157516570986,0.01423081868208967,0.054988127188163004,115
few minute,0.024681710720190347,0.0017106213977571936,0.0,4
delivery fee,0.003906577310458401,0.010566208645954258,0.0705198660768009,23
first order,0.015230239731689596,0.04311798437712212,0.0,5
be able,0.0045292191656785144,0.06362684897760927,0.0,8
few time,0.016902003095259764,0.020426832767295795,0.0,3
hour late,0.022132727842900077,0.00019686451344007875,0.0667095399043825,8
email say,0.0329770658803843,0.0,0.0,1
uber eats,0.019318663026092697,0.028857890858611113,0.040683924744929434,109
good deal,0.0,0.08914054380018846,0.0,1
uber eats,0.019243064375706293,0.028744962878089725,0.04052471860323188,109
long time,0.021832476678573274,0.017581052775304064,0.0,3
do anything,0.020093911868289165,0.01600353992098482,0.058623790339007734,18
online delivery,0.0,0.1358505216872134,0.0,1
many issue,0.0,0.04456772510524112,0.0,3
business day,0.019754372542870303,0.027499298947798706,0.07920937529254474,11
ur food,0.015135894981774289,0.011831454552891372,0.056141554275867214,31
customer service,0.034888726481262684,0.013696358157255124,0.05292296256389276,115
delivery fee,0.0037694115883451385,0.010195213392630667,0.06804380901071927,23
first time,0.0006277275303239953,0.03813626711644884,0.0,16
delivery fee,0.00375580246941743,0.010158404498642382,0.06779814300492044,23
new driver,0.015436140626958991,0.013363732051494303,0.0,3
customer service,0.03472619677940397,0.013632553449191476,0.05267642007884083,115
uber eat,0.0,0.020684206399639783,0.0,1
door dash,0.004996767340858349,0.038248253097112474,0.03082676287625934,28
issue refund,0.0,0.02291634173619221,0.0,1
wrong address,0.06133533490792185,0.003907811052729191,0.0,10
many review,0.0,0.06394599908618338,0.0,2
credit card,0.008887724706271855,0.013880197658847229,0.053455845325247005,16
uber eats,0.018596627936681598,0.027779327099919857,0.03916336293373561,109
lunch break,0.0,0.00943987748906874,0.11373505872426483,3
provide proof,0.0,0.002020770633759582,0.08521441384619714,2
base price,0.1656474328004947,0.0,0.0,1
first time,0.0006141802342334401,0.03731322960820385,0.0,16
be able,0.004309530755614957,0.060540647851559166,0.0,8
make more,0.0,0.056107373307498064,0.0,1
do anything,0.019263818064399786,0.015342422294124379,0.05620199982654324,18
wrong house,0.10227916735413642,0.0,0.0,3
delivery driver,0.008472981976581745,0.0393503540978126,0.06078298725367005,11
service fee,0.007144269732344184,0.035463139190222044,0.0,3
parking lot,0.006755086402820052,0.0135185943445945,0.05552622106064772,3
first order,0.014104644584771208,0.039931337626000526,0.0,5
home page,0.03616384866017827,0.0,0.0,2
be aware,0.0,0.04109993205933249,0.0,2
be deliver,0.0038037315051612317,0.01716496104361277,0.06600308295065557,10
wrong address,0.05876886659921012,0.0037442956298767978,0.0,10
loyal customer,0.006307388947073223,0.0369162068964366,0.0,8
use grubhub,0.06581648375081493,0.0,0.0,2
ur food,0.014281358850199653,0.011163479159516643,0.052971937502676314,31
delivery window,0.01496694211599219,0.010891834004644345,0.0,2
delivery time,0.024229510169282344,0.0064526902352767075,0.05431758011269557,6
taco bell,0.015875573898228166,0.010201416879601789,0.0,3
estimated delivery,0.010839184922460316,0.03370309100930833,0.03239896533887891,5
charge more,0.0,0.06713229899309746,0.0,1
dash pas,0.018198249286254308,0.02160804663619365,0.028488989818465305,17
ad be,0.007854088819296572,0.0,0.12911985014082475,5
customer service,0.03214267170481179,0.012618332286694536,0.0487574521314452,115
delivery fee,0.003472725187305442,0.009392758925030506,0.06268815274042956,23
house number,0.0,0.013296667258527546,0.0,2
escalation team,0.01727920776703408,0.01768293279833469,0.05326259272338894,3
couple year,0.0016198791367156603,0.0,0.0,1
treat customer,0.015523842326213887,0.03536484988121912,0.05326106300999324,3
customer service,0.032051700563730204,0.012582619509075783,0.0486194573468995,115
delivery people,0.0,0.07260316239980355,0.0,1
hot food,0.006657669160373323,0.0,0.0,1
countless time,0.0,0.0017392596713338305,0.1047761483583712,3
have issue,0.0,0.02077230017981718,0.0,1
full amount,0.0,0.047126857551923834,0.0,7
customer service,0.031169500594127687,0.012236291970967293,0.047281241806409226,115
delivery service,0.024117207764152902,0.03466676870495201,0.0,9
uber cash,0.004880916344012182,0.007905997916981551,0.06212238431469537,5
make sure,0.0,0.07046682704467461,0.0,7
take people,0.0,0.02052901460544709,0.0,1
someone el,0.005739496817870365,0.023154417791638553,0.015456854338247011,10
customer service,0.03101217941010166,0.012174531984305091,0.0470426001598823,115
bottom line,0.07051142460613298,0.022235634277904145,0.0,2
grub hub,0.011144540098879127,0.011137885621801142,0.07273348235053372,17
be able,0.003908616821464359,0.05490857543286917,0.0,8
uber eats,0.01674601290633713,0.02501490978517839,0.03526608067746976,109
get food,0.028877989566019648,0.018718405164385568,0.025563413660563063,6
do anything,0.017458050336699203,0.013904241609959634,0.05093369023289317,18
dasher do,0.0,0.006697645790215855,0.07565218017307213,2
girlfriend be,0.0,0.03245108184380368,0.0,1
get ready,0.0,0.04999231564890404,0.0,1
grub hub,0.010851531263992754,0.01084505174438793,0.070821195909669,17
be rip,0.18274298428046604,0.0,0.0,1
dash pas,0.01691148678356535,0.020080184052796178,0.026474589242824385,17
someone el,0.005570697839727079,0.02247344484457427,0.015002267237600493,10
double check,0.0,0.016892532050862736,0.0749628804108385,6
few dollar,0.013663243753463086,0.0,0.0,1
last night,0.016884379126628206,0.0008776573412978992,0.08922093665557851,5
uber eats,0.016178665933162643,0.024167416508406668,0.03407128259389025,109
door dash,0.0042993931221437225,0.032910132708217785,0.026524423341547212,28
someone el,0.005502548408018652,0.02219851474806705,0.014818736194274195,10
uber eats,0.016122121389985904,0.024082951229756587,0.03395220323854183,109
other apps,0.01293555842639799,0.0016351067583330982,0.0,5
last time,0.017375803853969564,0.0008175533726260947,0.04925089385615877,6
fast food,0.0,0.03911544784144825,0.0,1
last straw,0.004456411625064331,0.0,0.07326262975030545,2
next day,0.008727139432417718,0.012972187718880767,0.04884175316687028,3
small percentage,0.013350270777842508,0.01149648577755498,0.0,2
do anything,0.01669939807691606,0.01330002269006157,0.04872032972303999,18
tip include,0.0,0.014046776828487149,0.0,1
pay extra,0.0398033624559436,0.0,0.0,2
customer service,0.029175012420023468,0.011453310557541032,0.04425578821099256,115
delivery fee,0.00315209642189755,0.00852554699910113,0.056900299128419006,23
missing item,0.024633856476951755,0.0022516916703069086,0.00724825839145272,20
multiple occasion,0.01084021030583497,0.0007753025644175795,0.04816518013179674,3
gift card,0.012147007112293003,0.008108763032241709,0.07224096879685907,14
uber eats,0.015692068831410836,0.023440546018688783,0.03304653880897955,109
shake shack,0.011685680293891134,0.012755961338596541,0.04802763640238366,3
loyal customer,0.005500322819235974,0.03219256920668056,0.0,8
live person,0.018293952351332434,0.0,0.0,2
multiple time,0.014066247478734096,0.0038935764576425854,0.03909268133777835,11
feel bad,0.017380515175340654,0.0,0.0,1
good customer,0.0,0.13220848941941685,0.0,1
next day,0.008463433704426721,0.012580210458458448,0.04736591447138889,3
ur food,0.012307815985658355,0.009620796500967546,0.04565173846728318,31
customer service,0.028391176091702035,0.011145597890094583,0.04306678119228541,115
food delivery,0.06944459177404384,0.008791812377020638,0.0,3
customer service,0.028320115738602367,0.01111770154233434,0.04295898922662308,115
extra hour,0.0,0.046860235835634326,0.0,1
